date,y_true,y_pred,pos,r_gross,cost,r_net,model,H,strategy,tau,phase,allow_short,tc_bps,use_non_overlapping,is_baseline,ref_model
2022-02-01,-0.004679465721959,1.549010249669561e-05,1,-0.004679465721959,0.0002,-0.004879465721959,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-02-02,-0.0058540832038396,0.0004746303754772,1,-0.0058540832038396,0.0,-0.0058540832038396,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-02-03,0.0011526170920328,0.0008188322159891,1,0.0011526170920328,0.0,0.0011526170920328,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-02-04,-0.00094295150787,-0.0001038865584106,-1,0.00094295150787,0.0002,0.00074295150787,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-02-07,0.0025125641358831,0.0008601133122857,1,0.0025125641358831,0.0002,0.0023125641358831,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-02-08,-0.0015696126280131,9.401930540680788e-05,1,-0.0015696126280131,0.0,-0.0015696126280131,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-02-09,0.0006281407241708,-8.503071690299394e-05,-1,-0.0006281407241708,0.0002,-0.0008281407241708,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-02-10,0.005531507085446,0.000995465650869,1,0.005531507085446,0.0002,0.005331507085446,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-02-11,0.0030137720914682,0.0010796267490602,1,0.0030137720914682,0.0,0.0030137720914682,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-02-14,-0.0039509304877505,0.0006309234293655,1,-0.0039509304877505,0.0,-0.0039509304877505,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-02-15,-0.0030257209165371,4.866595510487346e-05,1,-0.0030257209165371,0.0,-0.0030257209165371,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-02-16,0.0010443865179059,0.0005308581248189,1,0.0010443865179059,0.0,0.0010443865179059,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-02-17,0.0025020863762383,0.0009500992007307,1,0.0025020863762383,0.0,0.0025020863762383,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-02-18,0.0004164064186751,0.0009280921830267,1,0.0004164064186751,0.0,0.0004164064186751,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-02-21,-0.0005205351218462,0.0005029861405163,1,-0.0005205351218462,0.0,-0.0005205351218462,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-02-22,0.0016647595146421,0.0008678829992215,1,0.0016647595146421,0.0,0.0016647595146421,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-02-23,0.0098278347530751,0.000976138704086,1,0.0098278347530751,0.0,0.0098278347530751,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-02-24,-0.0054709813881803,-0.0001901905620377,-1,0.0054709813881803,0.0002,0.0052709813881803005,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-02-25,0.0010345541994531,-0.0001203159363933,-1,-0.0010345541994531,0.0,-0.0010345541994531,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-02-28,0.0072120650539924,0.0008688505752694,1,0.0072120650539924,0.0002,0.0070120650539924004,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-03-01,-0.0002053388097564,0.0009031719949753,1,-0.0002053388097564,0.0,-0.0002053388097564,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-03-02,0.0040987863510757,0.0001320874459009,1,0.0040987863510757,0.0,0.0040987863510757,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-03-03,0.0087559101444405,0.0005669804520527,1,0.0087559101444405,0.0,0.0087559101444405,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-03-04,0.006466628576879,0.0010333791338258,1,0.006466628576879,0.0,0.006466628576879,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-03-07,-0.0023191338854111,0.0020264934418337,1,-0.0023191338854111,0.0,-0.0023191338854111,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-03-08,-0.0110644178035412,0.0007259293694131,1,-0.0110644178035412,0.0,-0.0110644178035412,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-03-09,0.0054967565110368,-0.0003808381123582,-1,-0.0054967565110368,0.0002,-0.0056967565110367996,ElasticNet,1,model,0.0,0,True,1.0,True,False,
2022-03-10,0.006173171453299,0.0009295052194019,1,0.006173171453299,0.0002,0.005973171453299,ElasticNet,1,model,0.0,0,True,1.0,True,False,
