model,H,strategy,tau,phase,use_non_overlapping,regime,n_obs,mean_log_ret,std_log_ret,sharpe_ann,max_drawdown,hit_rate
ElasticNet,5,model,0.0005,3,TRUE,mid,83,0,0,,0,0
ElasticNet,5,model,0.0005,4,TRUE,high,76,0,0,,0,0
ElasticNet,5,model,0.0005,4,TRUE,low,44,0,0,,0,0
ElasticNet,5,model,0.0005,4,TRUE,mid,83,0,0,,0,0
ElasticNet,5,model,0.001,0,TRUE,high,76,0,0,,0,0
ElasticNet,5,model,0.001,0,TRUE,low,45,0,0,,0,0
ElasticNet,5,model,0.001,0,TRUE,mid,83,0,0,,0,0
ElasticNet,5,model,0.001,1,TRUE,high,80,0,0,,0,0
ElasticNet,5,model,0.001,1,TRUE,low,44,0,0,,0,0
ElasticNet,5,model,0.001,1,TRUE,mid,80,0,0,,0,0
ElasticNet,5,model,0.001,2,TRUE,high,79,0,0,,0,0
ElasticNet,5,model,0.001,2,TRUE,low,43,0,0,,0,0
ElasticNet,5,model,0.001,2,TRUE,mid,82,0,0,,0,0
ElasticNet,5,model,0.001,3,TRUE,high,77,0,0,,0,0
ElasticNet,5,model,0.001,3,TRUE,low,43,0,0,,0,0
ElasticNet,5,model,0.001,3,TRUE,mid,83,0,0,,0,0
ElasticNet,5,model,0.001,4,TRUE,high,76,0,0,,0,0
ElasticNet,5,model,0.001,4,TRUE,low,44,0,0,,0,0
ElasticNet,5,model,0.001,4,TRUE,mid,83,0,0,,0,0
Lasso,5,model,0,0,TRUE,high,76,-0.000376481,0.012579279,-0.212472652,-0.176289458,0.421052632
Lasso,5,model,0,0,TRUE,low,45,0.00075787,0.008797648,0.611566199,-0.029892619,0.6
Lasso,5,model,0,0,TRUE,mid,83,0.00043845,0.008745702,0.355910529,-0.054762649,0.481927711
Lasso,5,model,0,1,TRUE,high,80,-0.000233173,0.012615268,-0.13121916,-0.173622525,0.525
Lasso,5,model,0,1,TRUE,low,44,0.00045903,0.008442553,0.385995767,-0.034546158,0.590909091
Lasso,5,model,0,1,TRUE,mid,80,0.000412993,0.008793565,0.33342123,-0.073491309,0.475
Lasso,5,model,0,2,TRUE,high,79,0.000133099,0.011123523,0.084946788,-0.152495466,0.518987342
Lasso,5,model,0,2,TRUE,low,43,0.000113892,0.007146573,0.113139043,-0.029151686,0.581395349
Lasso,5,model,0,2,TRUE,mid,82,0.000262268,0.009331103,0.199538799,-0.098123692,0.487804878
Lasso,5,model,0,3,TRUE,high,77,0.000237167,0.011964726,0.140723754,-0.144263986,0.532467532
Lasso,5,model,0,3,TRUE,low,43,0.000703272,0.008037827,0.621154728,-0.03030303,0.604651163
Lasso,5,model,0,3,TRUE,mid,83,-0.000111974,0.008583857,-0.092608647,-0.095490293,0.542168675
Lasso,5,model,0,4,TRUE,high,76,8.34E-05,0.012109642,0.048872458,-0.155203989,0.526315789
Lasso,5,model,0,4,TRUE,low,44,0.00032514,0.008571012,0.269310721,-0.032901103,0.5
Lasso,5,model,0,4,TRUE,mid,83,0.000249548,0.008414513,0.210542431,-0.062969439,0.481927711
Lasso,5,model,0.0005,0,TRUE,high,76,0,0,,0,0
Lasso,5,model,0.0005,0,TRUE,low,45,0,0,,0,0
Lasso,5,model,0.0005,0,TRUE,mid,83,0,0,,0,0
Lasso,5,model,0.0005,1,TRUE,high,80,0,0,,0,0
Lasso,5,model,0.0005,1,TRUE,low,44,0,0,,0,0
Lasso,5,model,0.0005,1,TRUE,mid,80,0,0,,0,0
Lasso,5,model,0.0005,2,TRUE,high,79,0,0,,0,0
Lasso,5,model,0.0005,2,TRUE,low,43,0,0,,0,0
Lasso,5,model,0.0005,2,TRUE,mid,82,0,0,,0,0
Lasso,5,model,0.0005,3,TRUE,high,77,0,0,,0,0
Lasso,5,model,0.0005,3,TRUE,low,43,0,0,,0,0
Lasso,5,model,0.0005,3,TRUE,mid,83,0,0,,0,0
Lasso,5,model,0.0005,4,TRUE,high,76,0,0,,0,0
Lasso,5,model,0.0005,4,TRUE,low,44,0,0,,0,0
Lasso,5,model,0.0005,4,TRUE,mid,83,0,0,,0,0
Lasso,5,model,0.001,0,TRUE,high,76,0,0,,0,0
Lasso,5,model,0.001,0,TRUE,low,45,0,0,,0,0
Lasso,5,model,0.001,0,TRUE,mid,83,0,0,,0,0
Lasso,5,model,0.001,1,TRUE,high,80,0,0,,0,0
Lasso,5,model,0.001,1,TRUE,low,44,0,0,,0,0
Lasso,5,model,0.001,1,TRUE,mid,80,0,0,,0,0
Lasso,5,model,0.001,2,TRUE,high,79,0,0,,0,0
Lasso,5,model,0.001,2,TRUE,low,43,0,0,,0,0
Lasso,5,model,0.001,2,TRUE,mid,82,0,0,,0,0
Lasso,5,model,0.001,3,TRUE,high,77,0,0,,0,0
Lasso,5,model,0.001,3,TRUE,low,43,0,0,,0,0
Lasso,5,model,0.001,3,TRUE,mid,83,0,0,,0,0
Lasso,5,model,0.001,4,TRUE,high,76,0,0,,0,0
Lasso,5,model,0.001,4,TRUE,low,44,0,0,,0,0
Lasso,5,model,0.001,4,TRUE,mid,83,0,0,,0,0
LightGBM,5,model,0,0,TRUE,high,76,0.003896385,0.011940678,2.316584614,-0.034881683,0.605263158
LightGBM,5,model,0,0,TRUE,low,45,7.79E-05,0.008820243,0.062699571,-0.029434324,0.533333333
LightGBM,5,model,0,0,TRUE,mid,83,0.000191834,0.008734091,0.155927616,-0.053302934,0.602409639
LightGBM,5,model,0,1,TRUE,high,80,0.003742031,0.012007178,2.212492069,-0.031619855,0.6125
LightGBM,5,model,0,1,TRUE,low,44,0.000893672,0.008393135,0.755908441,-0.034546158,0.545454545
LightGBM,5,model,0,1,TRUE,mid,80,0.000588728,0.008762238,0.476996094,-0.037837944,0.5625
LightGBM,5,model,0,2,TRUE,high,79,0.002863079,0.010732018,1.893944305,-0.031944935,0.607594937
LightGBM,5,model,0,2,TRUE,low,43,-0.000507894,0.007113363,-0.506889719,-0.040486222,0.581395349
LightGBM,5,model,0,2,TRUE,mid,82,0.001082891,0.009250219,0.831089581,-0.046765329,0.573170732
LightGBM,5,model,0,3,TRUE,high,77,0.001807993,0.011824493,1.085499257,-0.058289806,0.61038961
LightGBM,5,model,0,3,TRUE,low,43,0.000987502,0.007980237,0.878490837,-0.057280119,0.581395349
LightGBM,5,model,0,3,TRUE,mid,83,0.000450396,0.008562648,0.37342354,-0.048353683,0.43373494
LightGBM,5,model,0,4,TRUE,high,76,0.001972073,0.011938414,1.172712808,-0.067754815,0.618421053
LightGBM,5,model,0,4,TRUE,low,44,0.002044113,0.008291048,1.750293262,-0.031735379,0.568181818
