model,H,method,feature,importance_mean
ElasticNet,20,permutation,CN_Mkt_Index,-9.376883653928688e-20
ElasticNet,20,permutation,EPU_D,-9.376883653928688e-20
ElasticNet,20,permutation,Euro_CPI,-9.376883653928688e-20
ElasticNet,20,permutation,GDP,-9.376883653928688e-20
ElasticNet,20,permutation,GER_10Y,-9.376883653928688e-20
ElasticNet,20,permutation,GER_3M,-9.376883653928688e-20
ElasticNet,20,permutation,GER_Mkt_Index,-9.376883653928688e-20
ElasticNet,20,permutation,GER_TermSpread,-9.376883653928688e-20
ElasticNet,20,permutation,GOLD,-9.376883653928688e-20
ElasticNet,20,permutation,HK_Mkt_Index,-9.376883653928688e-20
ElasticNet,20,permutation,JP_10Y,-9.376883653928688e-20
ElasticNet,20,permutation,JP_CPI,-9.376883653928688e-20
ElasticNet,20,permutation,JP_Mkt_Index,-9.376883653928688e-20
ElasticNet,20,permutation,MA_gap_20,-9.376883653928688e-20
ElasticNet,20,permutation,MA_gap_5,-9.376883653928688e-20
ElasticNet,20,permutation,MA_gap_60,-9.376883653928688e-20
ElasticNet,20,permutation,Output_Gap,-9.376883653928688e-20
ElasticNet,20,permutation,UK_10Y,-9.376883653928688e-20
ElasticNet,20,permutation,UK_3M,-9.376883653928688e-20
ElasticNet,20,permutation,UK_Mkt_Index,-9.376883653928688e-20
ElasticNet,20,permutation,UK_TermSpread,-9.376883653928688e-20
ElasticNet,20,permutation,USD_CNY,-9.376883653928688e-20
ElasticNet,20,permutation,USD_EUR,-9.376883653928688e-20
ElasticNet,20,permutation,USD_Futures,-9.376883653928688e-20
ElasticNet,20,permutation,USD_GBP,-9.376883653928688e-20
ElasticNet,20,permutation,USD_JPY,-9.376883653928688e-20
ElasticNet,20,permutation,US_10Y,-9.376883653928688e-20
ElasticNet,20,permutation,US_3M,-9.376883653928688e-20
ElasticNet,20,permutation,US_CPI,-9.376883653928688e-20
ElasticNet,20,permutation,US_Mkt_Index,-9.376883653928688e-20
ElasticNet,20,permutation,US_TermSpread,-9.376883653928688e-20
ElasticNet,20,permutation,VIX,-9.376883653928688e-20
ElasticNet,20,permutation,WTI,-9.376883653928688e-20
ElasticNet,20,permutation,ret_lag_1,-9.376883653928688e-20
ElasticNet,20,permutation,ret_lag_10,-9.376883653928688e-20
ElasticNet,20,permutation,ret_lag_2,-9.376883653928688e-20
ElasticNet,20,permutation,ret_lag_20,-9.376883653928688e-20
ElasticNet,20,permutation,ret_lag_5,-9.376883653928688e-20
Lasso,1,permutation,BBW_20,-1.4821369917212972e-07
Lasso,1,permutation,BBW_5,-1.9196458871281526e-07
Lasso,1,permutation,BBW_60,3.516331370223258e-20
Lasso,1,permutation,CN_10Y,3.516331370223258e-20
Lasso,1,permutation,CN_CPI,3.516331370223258e-20
Lasso,1,permutation,CN_Mkt_Index,3.516331370223258e-20
Lasso,1,permutation,EPU_D,3.516331370223258e-20
Lasso,1,permutation,Euro_CPI,3.516331370223258e-20
Lasso,1,permutation,GDP,3.516331370223258e-20
Lasso,1,permutation,GER_10Y,3.516331370223258e-20
Lasso,1,permutation,GER_3M,3.516331370223258e-20
Lasso,1,permutation,GER_Mkt_Index,3.516331370223258e-20
Lasso,1,permutation,GER_TermSpread,3.516331370223258e-20
Lasso,1,permutation,GOLD,3.516331370223258e-20
Lasso,1,permutation,HK_Mkt_Index,-3.0155299668237145e-07
Lasso,1,permutation,JP_10Y,3.516331370223258e-20
Lasso,1,permutation,JP_CPI,-1.8105000617894374e-06
Lasso,1,permutation,JP_Mkt_Index,3.516331370223258e-20
Lasso,1,permutation,MA_gap_20,3.516331370223258e-20
Lasso,1,permutation,MA_gap_5,6.453399300458023e-07
Lasso,1,permutation,MA_gap_60,3.516331370223258e-20
Lasso,1,permutation,Output_Gap,3.516331370223258e-20
Lasso,1,permutation,UK_10Y,3.516331370223258e-20
Lasso,1,permutation,UK_3M,3.516331370223258e-20
Lasso,1,permutation,UK_Mkt_Index,-1.012206353931484e-08
Lasso,1,permutation,UK_TermSpread,3.516331370223258e-20
Lasso,1,permutation,USD_CNY,3.516331370223258e-20
Lasso,1,permutation,USD_EUR,1.4025575110264332e-05
Lasso,1,permutation,USD_Futures,1.3047490860458893e-05
Lasso,1,permutation,USD_GBP,3.516331370223258e-20
Lasso,1,permutation,USD_JPY,3.516331370223258e-20
Lasso,1,permutation,US_10Y,3.516331370223258e-20
Lasso,1,permutation,US_3M,8.974336142957189e-07
Lasso,1,permutation,US_CPI,-2.2255525959052046e-07
Lasso,1,permutation,US_Mkt_Index,2.4332165373803224e-05
Lasso,1,permutation,US_TermSpread,3.516331370223258e-20
Lasso,1,permutation,VIX,3.516331370223258e-20
Lasso,1,permutation,WTI,3.516331370223258e-20
Lasso,1,permutation,ret_lag_1,3.516331370223258e-20
Lasso,1,permutation,ret_lag_10,3.516331370223258e-20
Lasso,1,permutation,ret_lag_2,3.516331370223258e-20
Lasso,1,permutation,ret_lag_20,3.516331370223258e-20
Lasso,1,permutation,ret_lag_5,3.516331370223258e-20
Lasso,5,permutation,BBW_20,9.376883653928688e-20
Lasso,5,permutation,BBW_5,9.376883653928688e-20
Lasso,5,permutation,BBW_60,9.376883653928688e-20
Lasso,5,permutation,CN_10Y,9.376883653928688e-20
Lasso,5,permutation,CN_CPI,9.376883653928688e-20
Lasso,5,permutation,CN_Mkt_Index,9.376883653928688e-20
Lasso,5,permutation,EPU_D,9.376883653928688e-20
Lasso,5,permutation,Euro_CPI,9.376883653928688e-20
Lasso,5,permutation,GDP,9.376883653928688e-20
Lasso,5,permutation,GER_10Y,9.376883653928688e-20
Lasso,5,permutation,GER_3M,9.376883653928688e-20
Lasso,5,permutation,GER_Mkt_Index,9.376883653928688e-20
Lasso,5,permutation,GER_TermSpread,9.376883653928688e-20
Lasso,5,permutation,GOLD,9.376883653928688e-20
Lasso,5,permutation,HK_Mkt_Index,9.376883653928688e-20
Lasso,5,permutation,JP_10Y,9.376883653928688e-20
Lasso,5,permutation,JP_CPI,9.376883653928688e-20
Lasso,5,permutation,JP_Mkt_Index,9.376883653928688e-20
Lasso,5,permutation,MA_gap_20,9.376883653928688e-20
Lasso,5,permutation,MA_gap_5,9.376883653928688e-20
Lasso,5,permutation,MA_gap_60,9.376883653928688e-20
Lasso,5,permutation,Output_Gap,9.376883653928688e-20
Lasso,5,permutation,UK_10Y,9.376883653928688e-20
Lasso,5,permutation,UK_3M,9.376883653928688e-20
Lasso,5,permutation,UK_Mkt_Index,9.376883653928688e-20
Lasso,5,permutation,UK_TermSpread,9.376883653928688e-20
Lasso,5,permutation,USD_CNY,9.376883653928688e-20
Lasso,5,permutation,USD_EUR,9.376883653928688e-20
Lasso,5,permutation,USD_Futures,9.376883653928688e-20
Lasso,5,permutation,USD_GBP,9.376883653928688e-20
