model,H,strategy,tau,phase,use_non_overlapping,is_baseline,n_obs,mean_log_ret,std_log_ret,sharpe_ann,max_drawdown,hit_rate,turnover,tc_bps,allow_short,annual_scale,annualize_mode
ElasticNet,20,model,0.0005,10,TRUE,FALSE,51,0.000707759,0.019605766,0.128140605,-0.101035345,0.392156863,0.039215686,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0.0005,11,TRUE,FALSE,51,0.000741802,0.018731327,0.14057396,-0.100597521,0.431372549,0.039215686,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0.0005,12,TRUE,FALSE,51,0.000568064,0.019088692,0.105634592,-0.110727562,0.431372549,0.039215686,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0.0005,13,TRUE,FALSE,51,0.000310032,0.018943163,0.058095031,-0.11330625,0.411764706,0.039215686,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0.0005,14,TRUE,FALSE,51,9.87E-05,0.018887495,0.018544728,-0.119798246,0.392156863,0.039215686,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0.0005,15,TRUE,FALSE,51,0.000234277,0.019421302,0.042819032,-0.121823142,0.352941176,0.039215686,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0.0005,16,TRUE,FALSE,51,5.14E-05,0.019743124,0.009241446,-0.129173057,0.37254902,0.039215686,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0.0005,17,TRUE,FALSE,51,0.000146604,0.018564517,0.028031577,-0.117495004,0.352941176,0.039215686,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0.0005,18,TRUE,FALSE,50,5.92E-05,0.019819043,0.010600163,-0.124541893,0.4,0.04,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0.0005,19,TRUE,FALSE,50,0.000135995,0.018845582,0.025615348,-0.117819225,0.4,0.04,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0.001,0,TRUE,FALSE,51,0.000297253,0.002434246,0.433457805,-0.002068478,0.019607843,0.039215686,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0.001,1,TRUE,FALSE,51,0.000220737,0.001796798,0.436074127,-0.00137017,0.019607843,0.039215686,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0.001,2,TRUE,FALSE,51,0.000263797,0.001578547,0.593194457,-1.00E-04,0.039215686,0.039215686,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0.001,3,TRUE,FALSE,51,0.000563287,0.003294232,0.606960997,-1.00E-04,0.039215686,0.039215686,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0.001,4,TRUE,FALSE,51,0.000331385,0.005380594,0.218619243,-0.017032427,0.019607843,0.039215686,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0.001,5,TRUE,FALSE,51,0.000317423,0.007218798,0.156083989,-0.026789919,0.019607843,0.039215686,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0.001,6,TRUE,FALSE,51,-3.61E-05,0.006254404,-0.020480432,-0.031716688,0.019607843,0.039215686,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0.001,7,TRUE,FALSE,51,0.000154573,0.005800969,0.094584319,-0.024541603,0.019607843,0.039215686,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0.001,8,TRUE,FALSE,51,-0.000279219,0.006267918,-0.158127102,-0.037031154,0.019607843,0.039215686,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0.001,9,TRUE,FALSE,51,-0.000633823,0.0100765,-0.223276668,-0.062047732,0.019607843,0.039215686,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0.001,10,TRUE,FALSE,51,-0.000562112,0.007525407,-0.265141897,-0.048113758,0.019607843,0.039215686,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0.001,11,TRUE,FALSE,51,-0.000693766,0.00777389,-0.316781506,-0.051196285,0.019607843,0.039215686,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0.001,12,TRUE,FALSE,51,-0.000792246,0.00909855,-0.309081763,-0.059396596,0.019607843,0.039215686,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0.001,13,TRUE,FALSE,51,0.000263665,0.001897279,0.49329476,-1.00E-04,0.019607843,0.039215686,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0.001,14,TRUE,FALSE,51,-0.000209405,0.001481236,-0.501820738,-0.010622844,0,0.039215686,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0.001,15,TRUE,FALSE,51,-0.000369915,0.002627477,-0.499745009,-0.018688832,0,0.039215686,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0.001,16,TRUE,FALSE,51,0.000385178,0.007833985,0.174527646,-0.027789803,0.019607843,0.039215686,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0.001,17,TRUE,FALSE,51,0.000175639,0.006188319,0.100747156,-0.025852304,0.019607843,0.039215686,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0.001,18,TRUE,FALSE,50,0.000159429,0.003908,0.144810078,-0.014886935,0.02,0.04,1,TRUE,3.54964787,non_overlapping
ElasticNet,20,model,0.001,19,TRUE,FALSE,50,0.000217538,0.003753488,0.205724682,-0.012317824,0.02,0.04,1,TRUE,3.54964787,non_overlapping
Lasso,1,model,0,0,TRUE,FALSE,1018,0.000268708,0.00464659,0.918008586,-0.139848119,0.518664047,0.933202358,1,TRUE,15.87450787,non_overlapping
Lasso,1,model,0.0005,0,TRUE,FALSE,1018,0.000184027,0.002758876,1.058884339,-0.089157127,0.13064833,0.311394892,1,TRUE,15.87450787,non_overlapping
Lasso,1,model,0.001,0,TRUE,FALSE,1018,8.85E-05,0.001573695,0.892739284,-0.02136264,0.026522593,0.064833006,1,TRUE,15.87450787,non_overlapping
Lasso,5,model,0,0,TRUE,FALSE,204,0.000205309,0.010312684,0.14133526,-0.15179667,0.485294118,0,1,TRUE,7.09929574,non_overlapping
Lasso,5,model,0,1,TRUE,FALSE,204,0.000169524,0.010355164,0.11622243,-0.148628516,0.519607843,0,1,TRUE,7.09929574,non_overlapping
Lasso,5,model,0,2,TRUE,FALSE,204,0.000180971,0.009636187,0.133327505,-0.144369926,0.519607843,0,1,TRUE,7.09929574,non_overlapping
Lasso,5,model,0,3,TRUE,FALSE,203,0.000193146,0.009863995,0.139010888,-0.142123439,0.551724138,0,1,TRUE,7.09929574,non_overlapping
Lasso,5,model,0,4,TRUE,FALSE,203,0.000203716,0.009941658,0.14547255,-0.147206778,0.502463054,0,1,TRUE,7.09929574,non_overlapping
Lasso,5,model,0.0005,0,TRUE,FALSE,204,0,0,,0,0,0,1,TRUE,7.09929574,non_overlapping
Lasso,5,model,0.0005,1,TRUE,FALSE,204,0,0,,0,0,0,1,TRUE,7.09929574,non_overlapping
Lasso,5,model,0.0005,2,TRUE,FALSE,204,0,0,,0,0,0,1,TRUE,7.09929574,non_overlapping
Lasso,5,model,0.0005,3,TRUE,FALSE,203,0,0,,0,0,0,1,TRUE,7.09929574,non_overlapping
Lasso,5,model,0.0005,4,TRUE,FALSE,203,0,0,,0,0,0,1,TRUE,7.09929574,non_overlapping
Lasso,5,model,0.001,0,TRUE,FALSE,204,0,0,,0,0,0,1,TRUE,7.09929574,non_overlapping
Lasso,5,model,0.001,1,TRUE,FALSE,204,0,0,,0,0,0,1,TRUE,7.09929574,non_overlapping
Lasso,5,model,0.001,2,TRUE,FALSE,204,0,0,,0,0,0,1,TRUE,7.09929574,non_overlapping
Lasso,5,model,0.001,3,TRUE,FALSE,203,0,0,,0,0,0,1,TRUE,7.09929574,non_overlapping
Lasso,5,model,0.001,4,TRUE,FALSE,203,0,0,,0,0,0,1,TRUE,7.09929574,non_overlapping
Lasso,10,model,0,0,TRUE,FALSE,102,0.000410617,0.014748605,0.139761088,-0.136201357,0.529411765,0,1,TRUE,5.019960159,non_overlapping
Lasso,10,model,0,1,TRUE,FALSE,102,0.000339048,0.014693284,0.115835868,-0.133327388,0.480392157,0,1,TRUE,5.019960159,non_overlapping
Lasso,10,model,0,2,TRUE,FALSE,102,0.000361943,0.013992141,0.129854141,-0.141795008,0.509803922,0,1,TRUE,5.019960159,non_overlapping
Lasso,10,model,0,3,TRUE,FALSE,102,0.000356874,0.014882544,0.120375366,-0.138404321,0.539215686,0,1,TRUE,5.019960159,non_overlapping
Lasso,10,model,0,4,TRUE,FALSE,102,0.000328833,0.014698037,0.112309491,-0.146302677,0.470588235,0,1,TRUE,5.019960159,non_overlapping
Lasso,10,model,0,5,TRUE,FALSE,102,0.000338826,0.014107751,0.120564366,-0.151007888,0.480392157,0,1,TRUE,5.019960159,non_overlapping
Lasso,10,model,0,6,TRUE,FALSE,102,0.000283872,0.013284866,0.10726676,-0.148628516,0.5,0,1,TRUE,5.019960159,non_overlapping
Lasso,10,model,0,7,TRUE,FALSE,102,0.000293634,0.012584399,0.117131436,-0.140487116,0.519607843,0,1,TRUE,5.019960159,non_overlapping
Lasso,10,model,0,8,TRUE,FALSE,101,0.00040265,0.013418516,0.150634119,-0.137771449,0.544554455,0,1,TRUE,5.019960159,non_overlapping
Lasso,10,model,0,9,TRUE,FALSE,101,0.000398129,0.014206333,0.140683143,-0.145529962,0.534653465,0,1,TRUE,5.019960159,non_overlapping
Lasso,10,model,0.0005,0,TRUE,FALSE,102,0.000156664,0.001863808,0.421955834,-0.004651486,0.019607843,0.019607843,1,TRUE,5.019960159,non_overlapping
Lasso,10,model,0.0005,1,TRUE,FALSE,102,0.000110368,0.001935256,0.286290017,-0.005896258,0.009803922,0.019607843,1,TRUE,5.019960159,non_overlapping
Lasso,10,model,0.0005,2,TRUE,FALSE,102,6.08E-05,0.002259882,0.134950733,-0.014525885,0.019607843,0.019607843,1,TRUE,5.019960159,non_overlapping
Lasso,10,model,0.0005,3,TRUE,FALSE,102,0.000136174,0.000961014,0.711320078,-1.00E-04,0.029411765,0.019607843,1,TRUE,5.019960159,non_overlapping
Lasso,10,model,0.0005,4,TRUE,FALSE,102,-0.000204111,0.001258555,-0.814129823,-0.020604062,0,0.019607843,1,TRUE,5.019960159,non_overlapping
Lasso,10,model,0.0005,5,TRUE,FALSE,102,-0.000350045,0.002107331,-0.833856219,-0.035074687,0,0.019607843,1,TRUE,5.019960159,non_overlapping
Lasso,10,model,0.0005,6,TRUE,FALSE,102,-1.80E-05,0.004530793,-0.019991062,-0.039268806,0.009803922,0.019607843,1,TRUE,5.019960159,non_overlapping
Lasso,10,model,0.0005,7,TRUE,FALSE,102,1.61E-06,0.004209127,0.001925726,-0.032041735,0.019607843,0.019607843,1,TRUE,5.019960159,non_overlapping
Lasso,10,model,0.0005,8,TRUE,FALSE,101,-0.000140992,0.003509001,-0.201701876,-0.037031154,0.01980198,0.01980198,1,TRUE,5.019960159,non_overlapping
Lasso,10,model,0.0005,9,TRUE,FALSE,101,8.69E-05,0.003288231,0.132700863,-0.022690623,0.01980198,0.01980198,1,TRUE,5.019960159,non_overlapping
Lasso,10,model,0.001,0,TRUE,FALSE,102,0,0,,0,0,0,1,TRUE,5.019960159,non_overlapping
