model,H,strategy,tau,phase,use_non_overlapping,is_baseline,n_obs,mean_log_ret,std_log_ret,sharpe_ann,max_drawdown,hit_rate,turnover,tc_bps,allow_short,annual_scale,annualize_mode
ElasticNet,20,model,0.0,18,True,False,50,0.0007737632496663004,0.020852458900539883,0.1317152612099212,-0.13184855233852977,0.54,0.0,1.0,True,3.5496478698597698,non_overlapping
ElasticNet,20,model,0.0,19,True,False,50,0.0008562253285756877,0.019487229547254115,0.15596359689450723,-0.1278094898323222,0.5,0.0,1.0,True,3.5496478698597698,non_overlapping
ElasticNet,20,model,0.0005,0,True,False,51,0.00026102659692302325,0.01868059868513465,0.04959972211607283,-0.10666651902296787,0.43137254901960786,0.0392156862745098,1.0,True,3.5496478698597698,non_overlapping
ElasticNet,20,model,0.0005,1,True,False,51,0.0001724679606384998,0.018669280401776296,0.032791865349093015,-0.1086287899454298,0.39215686274509803,0.0392156862745098,1.0,True,3.5496478698597698,non_overlapping
ElasticNet,20,model,0.0005,2,True,False,51,0.00016435314447729992,0.01914865429105558,0.03046667302731082,-0.10677994164945326,0.4117647058823529,0.0392156862745098,1.0,True,3.5496478698597698,non_overlapping
ElasticNet,20,model,0.0005,3,True,False,51,3.9695491726281965e-05,0.02108344597394913,0.006683206237886171,-0.12334986721833452,0.4117647058823529,0.0392156862745098,1.0,True,3.5496478698597698,non_overlapping
ElasticNet,20,model,0.0005,4,True,False,51,8.519164249446475e-05,0.019357409394135855,0.015621942283348164,-0.12022274584463588,0.4117647058823529,0.0392156862745098,1.0,True,3.5496478698597698,non_overlapping
ElasticNet,20,model,0.0005,5,True,False,51,7.112868810812532e-05,0.018893389522245695,0.013363499224511655,-0.12091167140415915,0.37254901960784315,0.0392156862745098,1.0,True,3.5496478698597698,non_overlapping
ElasticNet,20,model,0.0005,6,True,False,51,0.0005595723804669526,0.019424426458585973,0.10225706857248815,-0.11464427220249651,0.37254901960784315,0.0392156862745098,1.0,True,3.5496478698597698,non_overlapping
ElasticNet,20,model,0.0005,7,True,False,51,0.0009163787537705822,0.018999527610842587,0.1712054087834367,-0.1096893752206134,0.37254901960784315,0.0392156862745098,1.0,True,3.5496478698597698,non_overlapping
ElasticNet,20,model,0.0005,8,True,False,51,0.0010176631728089375,0.018418797835538608,0.19612278422569193,-0.10466358134567455,0.43137254901960786,0.0392156862745098,1.0,True,3.5496478698597698,non_overlapping
ElasticNet,20,model,0.0005,9,True,False,51,0.0008916048428015465,0.01990216904755106,0.1590220253604267,-0.1120818992145447,0.4117647058823529,0.0392156862745098,1.0,True,3.5496478698597698,non_overlapping
ElasticNet,20,model,0.0005,10,True,False,51,0.000707758867497423,0.019605766353757385,0.1281406047106706,-0.10103534451981411,0.39215686274509803,0.0392156862745098,1.0,True,3.5496478698597698,non_overlapping
ElasticNet,20,model,0.0005,11,True,False,51,0.0007418022682335552,0.018731327267839937,0.14057395952999296,-0.10059752073486139,0.43137254901960786,0.0392156862745098,1.0,True,3.5496478698597698,non_overlapping
ElasticNet,20,model,0.0005,12,True,False,51,0.0005680637198077155,0.019088691911689423,0.10563459153140123,-0.11072756240042492,0.43137254901960786,0.0392156862745098,1.0,True,3.5496478698597698,non_overlapping
ElasticNet,20,model,0.0005,13,True,False,51,0.000310031773599741,0.018943162637162336,0.05809503121660478,-0.1133062499957187,0.4117647058823529,0.0392156862745098,1.0,True,3.5496478698597698,non_overlapping
ElasticNet,20,model,0.0005,14,True,False,51,9.867555045280711e-05,0.018887495496393826,0.018544727517680815,-0.11979824632756031,0.39215686274509803,0.0392156862745098,1.0,True,3.5496478698597698,non_overlapping
ElasticNet,20,model,0.0005,15,True,False,51,0.00023427713599308205,0.01942130158838863,0.042819032130775356,-0.12182314197166277,0.35294117647058826,0.0392156862745098,1.0,True,3.5496478698597698,non_overlapping
ElasticNet,20,model,0.0005,16,True,False,51,5.1400879181018754e-05,0.019743123905764926,0.00924144639747443,-0.12917305672698798,0.37254901960784315,0.0392156862745098,1.0,True,3.5496478698597698,non_overlapping
ElasticNet,20,model,0.0005,17,True,False,51,0.00014660402702341898,0.018564516721234985,0.028031576585093285,-0.11749500446817551,0.35294117647058826,0.0392156862745098,1.0,True,3.5496478698597698,non_overlapping
ElasticNet,20,model,0.0005,18,True,False,50,5.9184765928558256e-05,0.019819042801085176,0.010600162702860344,-0.12454189317252873,0.4,0.04,1.0,True,3.5496478698597698,non_overlapping
